date,pool_name,blocks_mined,share
2023-01-30,Braiins Pool,4,0.028985507246376812
2023-01-30,Unknown,2,0.014492753623188406
2023-01-31,Foundry USA,33,0.28695652173913044
2023-01-31,BTC.com,3,0.02608695652173913
2023-01-31,AntPool,30,0.2608695652173913
2023-01-31,F2Pool,17,0.14782608695652175
2023-01-31,Binance Pool,15,0.13043478260869565
2023-01-31,Poolin,2,0.017391304347826087
2023-01-31,SBI Crypto,1,0.008695652173913044
2023-01-31,1THash,1,0.008695652173913044
2023-01-31,Zulu Pool,1,0.008695652173913044
2023-01-31,Ultimus,1,0.008695652173913044
2023-01-31,ViaBTC,10,0.08695652173913043
2023-01-31,Luxor,1,0.008695652173913044
2023-02-01,Kucoin,1,0.0072992700729927005
2023-02-01,ViaBTC,13,0.0948905109489051
2023-02-01,Mara Pool,2,0.014598540145985401
2023-02-01,Binance Pool,13,0.0948905109489051
2023-02-01,F2Pool,15,0.10948905109489052
2023-02-01,AntPool,29,0.2116788321167883
2023-02-01,Foundry USA,51,0.3722627737226277
2023-02-01,SBI Crypto,2,0.014598540145985401
2023-02-01,Poolin,2,0.014598540145985401
2023-02-01,Braiins Pool,5,0.0364963503649635
2023-02-01,Luxor,1,0.0072992700729927005
2023-02-01,BTC M4,2,0.014598540145985401
2023-02-01,BTC.com,1,0.0072992700729927005
2023-02-02,Luxor,2,0.013793103448275862
2023-02-02,Mara Pool,1,0.006896551724137931
2023-02-02,Braiins Pool,2,0.013793103448275862
2023-02-02,Poolin,2,0.013793103448275862
2023-02-02,Kucoin,2,0.013793103448275862
2023-02-02,Unknown,4,0.027586206896551724
2023-02-02,BTC.com,5,0.034482758620689655
2023-02-02,BTC M4,1,0.006896551724137931
2023-02-02,ViaBTC,11,0.07586206896551724
2023-02-02,Ultimus,3,0.020689655172413793
2023-02-02,SBI Crypto,1,0.006896551724137931
2023-02-02,Binance Pool,17,0.11724137931034483
2023-02-02,Foundry USA,51,0.35172413793103446
2023-02-02,F2Pool,19,0.1310344827586207
2023-02-02,AntPool,24,0.16551724137931034
2023-02-03,ViaBTC,14,0.10526315789473684
2023-02-03,Mara Pool,2,0.015037593984962405
2023-02-03,AntPool,28,0.21052631578947367
2023-02-03,Braiins Pool,4,0.03007518796992481
2023-02-03,SBI Crypto,1,0.007518796992481203
2023-02-03,BTC M19,1,0.007518796992481203
