date,miner_id,pool_name,blocks_mined,block_count,cost_per_block,daily_share,cost_usd_per_day
2025-01-24,5,Binance Pool,3,122,193553.4487838670,0.0245901639,580660.3463516010
2025-01-24,6,MARA Pool,15,122,193553.4487838670,0.1229508197,2903301.7317580045
2025-01-24,7,SBI Crypto,1,122,193553.4487838670,0.0081967213,193553.4487838670
2025-01-24,8,Braiins Pool,4,122,193553.4487838670,0.0327868852,774213.7951354679
2025-01-24,11,Carbon Negative,1,122,193553.4487838670,0.0081967213,193553.4487838670
2025-01-25,0,Foundry USA,52,108,218202.4526377742,0.4814814815,11346527.5371642578
2025-01-25,1,AntPool,18,108,218202.4526377742,0.1666666667,3927644.1474799355
2025-01-25,3,ViaBTC,10,108,218202.4526377742,0.0925925926,2182024.5263777422
2025-01-25,4,F2Pool,11,108,218202.4526377742,0.1018518519,2400226.9790155161
2025-01-25,5,Binance Pool,1,108,218202.4526377742,0.0092592593,218202.4526377742
2025-01-25,6,MARA Pool,11,108,218202.4526377742,0.1018518519,2400226.9790155161
2025-01-25,7,SBI Crypto,1,108,218202.4526377742,0.0092592593,218202.4526377742
2025-01-25,8,Braiins Pool,3,108,218202.4526377742,0.0277777778,654607.3579133226
2025-01-25,11,Carbon Negative,1,108,218202.4526377742,0.0092592593,218202.4526377742
2025-01-26,0,Foundry USA,44,119,195429.4230143820,0.3697478992,8598894.6126328073
2025-01-26,1,AntPool,21,119,195429.4230143820,0.1764705882,4104017.8833020218
2025-01-26,3,ViaBTC,23,119,195429.4230143820,0.1932773109,4494876.7293307856
2025-01-26,4,F2Pool,15,119,195429.4230143820,0.1260504202,2931441.3452157299
2025-01-26,5,Binance Pool,5,119,195429.4230143820,0.0420168067,977147.1150719100
2025-01-26,6,MARA Pool,8,119,195429.4230143820,0.0672268908,1563435.3841150559
2025-01-26,7,SBI Crypto,1,119,195429.4230143820,0.0084033613,195429.4230143820
2025-01-26,8,Braiins Pool,1,119,195429.4230143820,0.0084033613,195429.4230143820
2025-01-26,9,BTC.com,1,119,195429.4230143820,0.0084033613,195429.4230143820
2025-01-27,0,Foundry USA,39,139,167511.4224086324,0.2805755396,6532945.4739366649
2025-01-27,1,AntPool,29,139,167511.4224086324,0.2086330935,4857831.2498503411
2025-01-27,3,ViaBTC,30,139,167511.4224086324,0.2158273381,5025342.6722589731
2025-01-27,4,F2Pool,23,139,167511.4224086324,0.1654676259,3852762.7153985463
2025-01-27,5,Binance Pool,4,139,167511.4224086324,0.0287769784,670045.6896345298
2025-01-27,6,MARA Pool,10,139,167511.4224086324,0.0719424460,1675114.2240863245
2025-01-27,7,SBI Crypto,2,139,167511.4224086324,0.0143884892,335022.8448172649
2025-01-27,9,BTC.com,1,139,167511.4224086324,0.0071942446,167511.4224086324
2025-01-27,11,Carbon Negative,1,139,167511.4224086324,0.0071942446,167511.4224086324
2025-01-28,0,Foundry USA,52,130,181281.4499989988,0.4000000000,9426635.3999479376
2025-01-28,1,AntPool,29,130,181281.4499989988,0.2230769231,5257162.0499709658
2025-01-28,3,ViaBTC,19,130,181281.4499989988,0.1461538462,3444347.5499809776
2025-01-28,4,F2Pool,19,130,181281.4499989988,0.1461538462,3444347.5499809776
2025-01-28,5,Binance Pool,1,130,181281.4499989988,0.0076923077,181281.4499989988
2025-01-28,6,MARA Pool,8,130,181281.4499989988,0.0615384615,1450251.5999919905
2025-01-28,8,Braiins Pool,2,130,181281.4499989988,0.0153846154,362562.8999979976
2025-01-29,0,Foundry USA,48,137,172613.6887447540,0.3503649635,8285457.0597481914
2025-01-29,1,AntPool,33,137,172613.6887447540,0.2408759124,5696251.7285768809
2025-01-29,2,Unknown,1,137,172613.6887447540,0.0072992701,172613.6887447540
2025-01-29,3,ViaBTC,23,137,172613.6887447540,0.1678832117,3970114.8411293416
2025-01-29,4,F2Pool,15,137,172613.6887447540,0.1094890511,2589205.3311713096
2025-01-29,5,Binance Pool,3,137,172613.6887447540,0.0218978102,517841.0662342620
2025-01-29,6,MARA Pool,6,137,172613.6887447540,0.0437956204,1035682.1324685239
2025-01-29,7,SBI Crypto,4,137,172613.6887447540,0.0291970803,690454.7549790159
2025-01-29,8,Braiins Pool,3,137,172613.6887447540,0.0218978102,517841.0662342620
2025-01-29,9,BTC.com,1,137,172613.6887447540,0.0072992701,172613.6887447540
2025-01-30,0,Foundry USA,41,128,186150.8078664727,0.3203125000,7632183.1225253819
2025-01-30,1,AntPool,29,128,186150.8078664727,0.2265625000,5398373.4281277088
2025-01-30,3,ViaBTC,22,128,186150.8078664727,0.1718750000,4095317.7730624001
2025-01-30,4,F2Pool,18,128,186150.8078664727,0.1406250000,3350714.5415965091
2025-01-30,5,Binance Pool,3,128,186150.8078664727,0.0234375000,558452.4235994181
2025-01-30,6,MARA Pool,8,128,186150.8078664727,0.0625000000,1489206.4629317818
2025-01-30,7,SBI Crypto,2,128,186150.8078664727,0.0156250000,372301.6157329454
2025-01-30,8,Braiins Pool,4,128,186150.8078664727,0.0312500000,744603.2314658909
2025-01-30,9,BTC.com,1,128,186150.8078664727,0.0078125000,186150.8078664727
2025-01-31,0,Foundry USA,34,104,225379.9842640769,0.3269230769,7662919.4649786139
2025-01-31,1,AntPool,21,104,225379.9842640769,0.2019230769,4732979.6695456151
2025-01-31,3,ViaBTC,24,104,225379.9842640769,0.2307692308,5409119.6223378452
2025-01-31,4,F2Pool,15,104,225379.9842640769,0.1442307692,3380699.7639611536
2025-01-31,5,Binance Pool,1,104,225379.9842640769,0.0096153846,225379.9842640769
2025-01-31,6,MARA Pool,6,104,225379.9842640769,0.0576923077,1352279.9055844613
