date,pool_name,revenue_usd,cost_usd,Pi_usd
2024-07-13,BTC.com,199126.1310571055,131757.4080898584,67368.7229672471
2024-07-13,Binance Pool,393771.2339576883,263514.8161797168,130256.41777797154
2024-07-13,Braiins Pool,772804.9780970555,527029.6323594337,245775.34573762177
2024-07-13,Carbon Negative,191551.4736669,131757.4080898584,59794.06557704162
2024-07-13,F2Pool,3671948.5226901965,2503390.75370731,1168557.7689828863
2024-07-13,Foundry USA,10475616.578879295,7114900.036852355,3360716.54202694
2024-07-13,Luxor,191282.3266334977,0.0,191282.3266334977
2024-07-13,MARA Pool,1385475.2833003881,922301.8566290088,463173.42667137936
2024-07-13,Poolin,189609.20106125623,131757.4080898584,57851.79297139784
2024-07-13,SBI Crypto,191845.5253673133,131757.4080898584,60088.117277454905
2024-07-13,SECPOOL,207675.90966671516,0.0,207675.90966671516
2024-07-13,SpiderPool,770865.0279375828,0.0,770865.0279375828
2024-07-13,ULTIMUSPOOL,192283.3943261533,0.0,192283.3943261533
2024-07-13,ViaBTC,2875662.2136367103,1976361.1213478765,899301.0922888338
2024-07-14,AntPool,6448315.645393469,4200171.696139478,2248143.9492539912
2024-07-14,BTC.com,193322.0107411084,127277.9301860448,66044.08055506359
2024-07-14,Binance Pool,1369612.021645415,890945.5113023137,478666.51034310146
2024-07-14,Braiins Pool,585353.4482435273,381833.7905581344,203519.65768539294
2024-07-14,F2Pool,3529119.846383421,2291002.7433488066,1238117.1030346146
2024-07-14,Foundry USA,10152782.624589663,6618452.36967433,3534330.2549153334
2024-07-14,Luxor,778654.616726686,0.0,778654.616726686
2024-07-14,MARA Pool,1560794.8159211061,1018223.4414883584,542571.3744327477
2024-07-14,SBI Crypto,792562.9992505477,509111.7207441792,283451.2785063685
2024-07-14,SECPOOL,979547.6041781134,0.0,979547.6041781134
2024-07-14,SpiderPool,194849.3769847998,0.0,194849.3769847998
2024-07-14,ViaBTC,5867632.9418858765,3818337.905581344,2049295.0363045326
2024-07-14,WhitePool,194664.76932057715,0.0,194664.76932057715
2024-07-15,AntPool,7328043.128454777,4832195.04321843,2495848.0852363473
2024-07-15,BTC.com,209499.28443738836,138062.7155205266,71436.56891686175
2024-07-15,Binance Pool,1040400.1140466781,690313.5776026328,350086.53644404525
2024-07-15,Braiins Pool,432181.57225173595,276125.4310410531,156056.14121068286
2024-07-15,Carbon Negative,206191.263453695,138062.7155205266,68128.54793316839
2024-07-15,F2Pool,5013213.573907154,3313505.1724926378,1699708.401414516
2024-07-15,Foundry USA,8775396.525996385,5798634.051862116,2976762.474134269
2024-07-15,Luxor,620682.6411695974,0.0,620682.6411695974
2024-07-15,MARA Pool,1273620.0026213147,828376.2931231594,445243.7094981553
2024-07-15,SBI Crypto,840528.9744687739,552250.8620821063,288278.11238666764
2024-07-15,SECPOOL,206307.29993869987,0.0,206307.29993869987
2024-07-15,SpiderPool,622054.941348264,0.0,622054.941348264
2024-07-15,ViaBTC,4801638.361540931,3175442.456972111,1626195.9045688203
2024-07-15,WhitePool,640113.5064103542,0.0,640113.5064103542
2024-07-16,AntPool,8402253.176597552,6377836.810184787,2024416.3664127653
2024-07-16,BTC.com,633033.5296325264,478337.760763859,154695.76886866742
2024-07-16,Binance Pool,415750.4093243098,318891.8405092394,96858.56881507038
2024-07-16,Braiins Pool,430434.1927928284,318891.8405092394,111542.35228358902
2024-07-16,Carbon Negative,214579.70728340565,159445.9202546197,55133.78702878594
2024-07-16,F2Pool,1891344.552362607,1435013.2822915772,456331.2700710299
2024-07-16,Foundry USA,7138620.549156358,5421161.288657069,1717459.2604992893
2024-07-16,Luxor,1250461.442059314,0.0,1250461.442059314
2024-07-16,MARA Pool,1679348.222986925,1275567.3620369574,403780.8609499675
2024-07-16,OCEAN,207844.4415839352,0.0,207844.4415839352
2024-07-16,Poolin,207943.8520693375,159445.9202546197,48497.9318147178
2024-07-16,SBI Crypto,423178.6345264785,318891.8405092394,104286.79401723907
2024-07-16,SECPOOL,854393.1849488249,0.0,854393.1849488249
2024-07-16,SpiderPool,1886902.135661392,0.0,1886902.135661392
2024-07-16,ULTIMUSPOOL,212733.5674531859,0.0,212733.5674531859
2024-07-16,ViaBTC,4381195.802747245,3348364.3253470133,1032831.4774002316
2024-07-16,WhitePool,630752.3356863675,0.0,630752.3356863675
2024-07-17,AntPool,7857362.664583319,5255140.664065908,2602222.000517411
2024-07-17,BTC.com,410456.17811983125,276586.3507403109,133869.82737952034
2024-07-17,Binance Pool,625138.3361313904,414879.5261104663,210258.81002092414
