Average electricity cost assumption: 0.05 USD/kWh,,,
Date,Lower bound cost of minting USD,Estimated cost of minting USD,Upper bound cost of minting USD
2024-07-18,23646.408440286137,37184.843799330745,57009.83759735142
2024-07-19,23753.938261781448,37371.888598930534,57701.099277216475
2024-07-20,23932.96965998508,37671.394455260735,58565.280728302234
2024-07-21,24059.82742226727,37888.92839155946,59305.432937219135
2024-07-22,24182.688760361572,38180.22161111206,60471.540734614086
2024-07-23,24308.751315026188,38476.75516591788,61647.129392609386
2024-07-24,24433.971975189605,38754.26818355767,62397.48263819095
2024-07-25,24516.28767509383,38964.32805536168,63041.529889458805
2024-07-26,24535.598250530307,39075.083149716185,63528.098503793255
2024-07-27,24529.910221528207,39146.43060326219,63952.14930801487
2024-07-28,24537.011564103323,39238.20868641355,64409.65535577121
2024-07-29,24550.975290245457,39260.53869180045,64446.310136894324
2024-07-30,24552.85288364651,39263.541233552794,64451.23881957209
2024-07-31,24795.451498365604,39651.49129203949,65088.06018320971
2024-08-01,25161.914994879007,40206.0548160849,66050.02686155739
2024-08-02,25522.569539228567,40751.37396699445,66996.74504047498
2024-08-03,25898.29648400755,41228.98949109623,67497.79152569557
2024-08-04,26273.2377559008,41704.99724470136,67995.39201411013
2024-08-05,26642.27213266506,42171.962684446466,68479.07643054251
2024-08-06,27020.546813696208,42632.74801756428,68500.8193089744
2024-08-07,27155.95442348828,42705.46910608899,67887.15953820475
2024-08-08,27151.312633181507,42586.01194199062,66908.00340908323
2024-08-09,27157.23086418299,42370.75075658831,65856.81827308975
2024-08-10,27168.813731297734,42157.6088848267,64936.74046461014
2024-08-11,27180.62978816761,41944.161103253566,64014.490759827604
2024-08-12,27180.349986758432,41677.144575002705,62801.30163781053
2024-08-13,27184.39307997439,41437.094717975866,62081.72478476425
2024-08-14,27181.852633359125,41187.716223754884,61349.33899793799
2024-08-15,27039.991555708668,40681.33829322976,60178.18530913857
2024-08-16,26883.750306016354,40265.67260276639,59073.466343561966
2024-08-17,26722.331118713464,39938.72536216399,58316.86176689171
2024-08-18,26551.29673774206,39597.24071601814,57538.38554883049
2024-08-19,26378.279219907814,39337.940443399435,57159.909728568055
2024-08-20,26203.23444426532,39075.60193217388,56776.99928185011
2024-08-21,26050.55308065171,38846.77932678468,56443.00879894534
