2025-12-30 17:45:22,108 - INFO - Collected 790104: Pool=Foundry USA, Score=99.93
2025-12-30 17:45:22,999 - INFO - Collected 790105: Pool=F2Pool, Score=98.02
2025-12-30 17:45:23,819 - INFO - Collected 790106: Pool=AntPool, Score=97.47
2025-12-30 17:45:24,662 - INFO - Collected 790107: Pool=Foundry USA, Score=97.7
2025-12-30 17:45:25,543 - INFO - Collected 790108: Pool=Foundry USA, Score=97.76
2025-12-30 17:45:26,452 - INFO - Collected 790109: Pool=Foundry USA, Score=97.9
2025-12-30 17:45:27,284 - INFO - Collected 790110: Pool=Foundry USA, Score=97.75
2025-12-30 17:45:28,553 - INFO - Collected 790111: Pool=Binance Pool, Score=97.92
2025-12-30 17:45:29,791 - INFO - Collected 790112: Pool=Foundry USA, Score=97.37
2025-12-30 17:45:30,656 - INFO - Collected 790113: Pool=Binance Pool, Score=97.86
2025-12-30 17:45:32,013 - INFO - Collected 790114: Pool=BTC.com, Score=96.94
2025-12-30 17:45:33,006 - INFO - Collected 790115: Pool=F2Pool, Score=99.89
2025-12-30 17:45:33,813 - INFO - Collected 790116: Pool=Foundry USA, Score=98.65
2025-12-30 17:45:34,656 - INFO - Collected 790117: Pool=Foundry USA, Score=98.76
2025-12-30 17:45:35,476 - INFO - Collected 790118: Pool=F2Pool, Score=98.39
2025-12-30 17:45:36,522 - INFO - Collected 790119: Pool=F2Pool, Score=98.35
2025-12-30 17:45:37,580 - INFO - Collected 790120: Pool=Foundry USA, Score=100
2025-12-30 17:45:38,433 - INFO - Collected 790121: Pool=Foundry USA, Score=98.58
2025-12-30 17:45:39,635 - INFO - Collected 790122: Pool=AntPool, Score=99.04
2025-12-30 17:45:40,681 - INFO - Collected 790123: Pool=ViaBTC, Score=98.02
2025-12-30 17:45:41,594 - INFO - Collected 790124: Pool=Foundry USA, Score=99.06
2025-12-30 17:45:42,855 - INFO - Collected 790125: Pool=AntPool, Score=98.8
2025-12-30 17:45:44,013 - INFO - Collected 790126: Pool=Foundry USA, Score=98.81
2025-12-30 17:45:44,827 - INFO - Collected 790127: Pool=Foundry USA, Score=98.85
2025-12-30 17:45:45,634 - INFO - Collected 790128: Pool=AntPool, Score=98.71
2025-12-30 17:45:46,436 - INFO - Collected 790129: Pool=ULTIMUSPOOL, Score=98.68
2025-12-30 17:45:47,462 - INFO - Collected 790130: Pool=AntPool, Score=99.87
2025-12-30 17:45:48,438 - INFO - Collected 790131: Pool=EMCDPool, Score=99.88
2025-12-30 17:45:49,287 - INFO - Collected 790132: Pool=AntPool, Score=98.46
2025-12-30 17:45:50,487 - INFO - Collected 790133: Pool=Foundry USA, Score=98.69
2025-12-30 17:45:51,409 - INFO - Collected 790134: Pool=Foundry USA, Score=98.66
2025-12-30 17:45:52,472 - INFO - Collected 790135: Pool=AntPool, Score=99.66
2025-12-30 17:45:53,665 - INFO - Collected 790136: Pool=Foundry USA, Score=99.54
2025-12-30 17:45:54,869 - INFO - Collected 790137: Pool=Foundry USA, Score=98.68
2025-12-30 17:45:55,874 - INFO - Collected 790138: Pool=AntPool, Score=98.75
2025-12-30 17:45:56,775 - INFO - Collected 790139: Pool=F2Pool, Score=99.97
2025-12-30 17:45:57,986 - INFO - Collected 790140: Pool=Foundry USA, Score=98.16
2025-12-30 17:45:58,877 - INFO - Collected 790141: Pool=F2Pool, Score=99.78
